Name	Alternate name	Alternate name 2	RA 2000 (h:m:s)	DEC 2000 (d:m:s)	SuBr	Radial velocity (km/sec)	hrv error	galaxy type	Remarks
			03 16 39.43	+41 30 03.0	22.6			Irr?	
			03 16 40.03	+41 12 37.1	22.1			S?	
			03 16 42.23	+40 03 45.2	21.9			SB0/SB	
IC 310			03 16 42.91	+41 19 29.6	19.4	5678	10	S0	
			03 16 43.21	+41 41 12.9	22.6			S?	
PGC 12176			03 16 45.57	+40 41 51.0	19.4	5864	47	S0	
IRAS03134+4008			03 16 45.85	+40 19 47.9	21.4	4910	17	S(B?)	
IC 311			03 16 46.74	+40 00 13.9	20.9	4257	90	E/S0(pec)?	
			03 16 48.53	+40 52 57.4	21.8			SB0	
			03 16 51.11	+41 15 20.4	21.3			E	
			03 16 51.35	+41 27 33.8	22.2			S?/S0?	
			03 16 55.06	+42 17 02.7	22.1			SB?	
			03 16 59.21	+41 00 00.9	20.8			E	
			03 16 59.43	+40 40 11.7	21.2			S	
UGC 2626			03 16 59.66	+41 21 23.6	19.5	6358	71	S(early)/S0?	
NPM +40.0073			03 17 00.17	+40 43 41.0	19.8			S(early)(B?)	
			03 17 00.06	+42 39 46.5	21.5			S	
PGC 12193			03 17 03.54	+41 38 01.1	19.4	7236	71	S	
			03 17 05.49	+40 15 39.3	21.1			SB?	
			03 17 07.40	+40 52 52.1	19.9			S0/E	
			03 17 12.49	+40 03 16.6	22.2			E	
PGC 12205			03 17 13.13	+41 39 03.6	20.2	6176	18	S0/E	
PGC 12206			03 17 13.52	+41 26 07.7	20.2	4784	17	E	
NGC 1259			03 17 17.17	+41 23 07.4	19.7	5816	18	E/S0?	
			03 17 17.60	+41 25 17.2	21.5			S0	
NGC 1260			03 17 27.13	+41 24 18.6	19.6	5753	14	SB/SB0?	
			03 17 27.16	+41 55 00.1	21.1			S/S0?	
PGC 12222			03 17 27.83	+41 36 46.9	20	6135	18	S0/E	
PGC 12223			03 17 27.80	+41 29 16.8	20.7	4677	17	S0/E	
PGC 12221			03 17 29.07	+41 22 32.2	20.2	6446	19	S0	
NPM +40.0074			03 17 29.36	+40 23 47.4	20.3			E/S0?	
			03 17 30.09	+41 18 47.7	22.3			S?	
PGC 12230			03 17 31.90	+41 24 42.0	21.3	5957	18	SB/SB0?	
PGC 12236			03 17 32.80	+41 17 48.9	20.5	5836	18	S?	
			03 17 37.04	+40 35 16.9	22.4			S	
			03 17 37.53	+40 31 51.6	21.3			E	
			03 17 38.45	+41 00 40.9	22.2			S?	
			03 17 42.30	+40 15 24.7	22.5			Irr	
PGC 12243			03 17 43.18	+42 23 06.2	20.3	4850	17	S(B?)	
			03 17 43.55	+40 57 46.0	21.7			S?	
			03 17 45.00	+42 10 51.9	20.3			?	
			03 17 49.33	+42 31 18.1	22.1			E?	
UGC 2639			03 17 50.37	+41 58 03.7	20.5	4033	19	S/S0?	
PGC 12254			03 17 51.02	+41 27 02.9	19.6	4370	57	E/S0?	
			03 17 52.81	+40 53 49.9	21.9			S	
			03 17 53.58	+41 05 19.9	21			S	
UGC 2642			03 17 55.04	+40 55 35.5	21.1	6155	18	SB(pec?)	
PGC 12263			03 17 57.50	+41 29 50.4	20.8	4741	17	SB0	
PGC 12267			03 17 57.96	+41 54 02.2	20.6	7812	20	E?	
			03 17 59.30	+40 44 20.9	21.9			S	
			03 17 59.46	+40 43 11.2	21.6			?	
NGC 1264			03 17 59.48	+41 31 13.4	20.1	3246	15	SB0	
			03 18 00.60	+41 17 56.7	21.6			E?	
			03 18 00.73	+42 36 07.2	23			S(late)/Irr?	
PGC 12272			03 18 01.70	+41 35 33.9	20.6	4227	16	S(early)	
			03 18 02.55	+41 50 22.3	22			S/S0?	
			03 18 05.79	+41 34 53.2	22.3			?	
IC 312			03 18 08.37	+41 45 16.1	19.7	4978	13	S0	
UGC 2646			03 18 11.43	+40 21 05.7	20.6	5388	73	S0	
			03 18 13.79	+42 32 16.6	21.3			S0/E?	
NGC 1265			03 18 15.75	+41 51 27.9	19.8	7536	71	E	
PGC 12288			03 18 16.40	+41 44 06.0	19.8	6685	19	S0/S?	
PGC 12290			03 18 17.94	+41 40 31.2	21	4848	17	S0/S	
			03 18 18.09	+41 29 11.7	22.1			E	
PGC 12292			03 18 18.84	+41 28 09.4	20.2	3544	41	S(comp)/E?	
PGC 12293			03 18 19.47	+41 51 21.8	20.8	8493	20	E	
			03 18 20.43	+42 44 41.8	21.2			E	
PGC 12294			03 18 20.89	+41 27 48.7	20.5	4934	17	S	
			03 18 21.35	+41 04 19.2	21.3			Irr	
NPM +39.0081			03 18 21.83	+40 09 17.6	21			Sa/S0?	
			03 18 21.77	+42 04 37.5	21.7			E/S?	
PGC 12295			03 18 22.43	+41 24 35.2	20	6468	8	E/S0?	
PGC 12296			03 18 22.92	+41 16 08.1	21.1	3987	16	diskyE/S0	
